,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,1.331964,0.311384,0.306907,1.249962,0.357143,0.230721
1,1.172765,0.398438,0.394531,1.159468,0.428571,0.401276
2,1.066675,0.465402,0.456968,0.966342,0.558036,0.555575
3,1.059591,0.496652,0.492537,0.881027,0.589286,0.565284
4,1.041802,0.46317,0.461276,1.048261,0.40625,0.306845
5,1.002946,0.495536,0.494787,0.840591,0.575893,0.517164
6,0.934095,0.558036,0.555631,0.770881,0.647321,0.635721
7,0.926925,0.581473,0.58203,0.746479,0.6875,0.687631
8,0.894917,0.594866,0.595142,0.95556,0.607143,0.596189
9,0.825604,0.660714,0.663745,0.726134,0.709821,0.706718
10,0.792757,0.672991,0.675343,0.690175,0.696429,0.697505
11,0.72368,0.716518,0.718976,0.553873,0.785714,0.785773
12,0.689469,0.733259,0.7343,0.590795,0.776786,0.770982
13,0.628694,0.738839,0.739391,0.608704,0.790179,0.788202
14,0.637594,0.766741,0.767513,0.60277,0.772321,0.772102
15,0.568567,0.772321,0.773719,0.529997,0.790179,0.789683
16,0.571559,0.790179,0.791919,0.465709,0.821429,0.818212
17,0.522027,0.8125,0.814009,0.519064,0.790179,0.789714
18,0.544643,0.795759,0.796664,0.456799,0.821429,0.821104
19,0.471808,0.816964,0.817404,0.474821,0.825893,0.826106
